date,goodsCode,goodsName,amount,goodsPrice,goodsExpireDate,customerAge,state
20201007092921,1001,億辦條,1,1500,20201231
20201007092921,1002,馬濠條,1,2000,20201231
20201007092921,2001,錯萄夔,1,1500,20201231
20201007092921,2002,粽塭爾夔,1,1700,20201231
20201007094846,1001,億辦條,1,1500,20201231
20201007094846,1002,馬濠條,1,2000,20201231
20201007101703,1001,億辦條,1,1500,20201231
20201007101703,1002,馬濠條,1,2000,20201231
20201007101703,2001,錯萄夔,1,1500,20201231
20201008093847,1001,億辦條,2,1500,20201231
20201008093847,1002,馬濠條,1,2000,20201231
20201008093847,2001,錯萄夔,2,1500,20201231
20201008093847,2002,粽塭爾夔,1,1700,20201231
20201008101056,1001,億辦條,1,1500,20201231
20201008101433,1001,億辦條,2,1500,20201231
20201008101433,1002,馬濠條,1,2000,20201231
20201008101433,2001,錯萄夔,1,1500,20201231
